label,text
ham,I dont know why she.s not getting your messages
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
ham,R u here yet? I'm wearing blue shirt n black pants.
spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY 1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
ham,I have to take exam with march 3
ham,Oh did you charge camera
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
ham,Where @
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
ham,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.
ham,Hey whats up? U sleeping all morning?
ham,Yup ok thanx...
ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
ham,How do you plan to manage that
ham,Still otside le..u come 2morrow maga..
ham,"Sir, Waiting for your mail."
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a 2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
ham,Thinkin about someone is all good. No drugs for that
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered <#> to my account and <#> dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
ham,U should have made an appointment
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is!
ham,Maybe you should find something else to do instead???
