"AUDIT_ID","ACTION_TYPE","ENTITY_TYPE","ENTITY_ID","FIELD_CHANGED","OLD_VALUE","NEW_VALUE","CHANGE_SUMMARY","USER_ID","USER_ROLE","IP_ADDRESS","ACTION_TIMESTAMP"
1,REVIEW_ALERT,ALERT,15001,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed velocity anomaly. Proceeding with standard review.,manager_fernandez,COMPLIANCE_MANAGER,"10.51.153.47",2025-11-21 01:47:25.000
2,REVIEW_ALERT,ALERT,15002,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed geographic risk signal. Proceeding with standard review.,officer_tanaka,COMPLIANCE_OFFICER,"10.52.154.54",2024-05-29 09:08:56.000
3,REVIEW_ALERT,ALERT,15003,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,officer_dubois,COMPLIANCE_OFFICER,"10.53.155.61",2026-06-26 00:00:03.000
4,REVIEW_ALERT,ALERT,15004,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: CRITICAL. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,analyst_chen,AML_ANALYST,"10.54.156.68",2024-10-13 05:07:33.000
5,ESCALATE_ALERT,ALERT,15004,ASSIGNED_TO,analyst_chen,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.54.156.68",2024-10-13 07:07:33.000
6,REVIEW_ALERT,ALERT,15005,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,analyst_patel,AML_ANALYST,"10.55.157.75",2026-04-03 20:11:09.000
7,ESCALATE_ALERT,ALERT,15005,ASSIGNED_TO,analyst_patel,officer_dubois,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_dubois,COMPLIANCE_OFFICER,"10.55.157.75",2026-04-03 23:11:09.000
8,REVIEW_ALERT,ALERT,15006,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed velocity anomaly. Proceeding with standard review.,analyst_okonkwo,AML_ANALYST,"10.56.158.82",2024-04-19 09:53:00.000
9,REVIEW_ALERT,ALERT,15007,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: HIGH. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,analyst_silva,AML_ANALYST,"10.57.159.89",2024-08-29 06:57:33.000
10,ESCALATE_ALERT,ALERT,15007,ASSIGNED_TO,analyst_silva,senior_okafor,Alert escalated to SENIOR_ANALYST due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,senior_okafor,SENIOR_ANALYST,"10.57.159.89",2024-08-29 08:57:33.000
11,REVIEW_ALERT,ALERT,15008,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: CRITICAL. Joule analysis confirmed counterparty exposure. Proceeding with enhanced investigation.,analyst_kim,AML_ANALYST,"10.58.160.96",2025-06-05 04:43:53.000
12,ESCALATE_ALERT,ALERT,15008,ASSIGNED_TO,analyst_kim,manager_raghavan,Alert escalated to COMPLIANCE_MANAGER due to CRITICAL priority. Joule risk score indicates elevated exposure. Requires senior review.,manager_raghavan,COMPLIANCE_MANAGER,"10.58.160.96",2025-06-05 07:43:53.000
13,REVIEW_ALERT,ALERT,15009,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: HIGH_RISK_GEOGRAPHY. Priority: MEDIUM. Joule analysis confirmed suspicious structuring. Proceeding with standard review.,senior_marchetti,SENIOR_ANALYST,"10.59.161.103",2025-03-03 20:35:33.000
14,REVIEW_ALERT,ALERT,15010,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: VELOCITY_ANOMALY. Priority: HIGH. Joule analysis confirmed threshold breach pattern. Proceeding with enhanced investigation.,senior_okafor,SENIOR_ANALYST,"10.60.162.110",2025-09-20 17:22:47.000
15,ESCALATE_ALERT,ALERT,15010,ASSIGNED_TO,senior_okafor,officer_tanaka,Alert escalated to COMPLIANCE_OFFICER due to HIGH priority. Joule risk score indicates elevated exposure. Requires senior review.,officer_tanaka,COMPLIANCE_OFFICER,"10.60.162.110",2025-09-20 19:22:47.000
16,REVIEW_ALERT,ALERT,15011,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: THRESHOLD_BREACH. Priority: MEDIUM. Joule analysis confirmed velocity anomaly. Proceeding with standard review.,manager_raghavan,COMPLIANCE_MANAGER,"10.61.163.117",2024-05-06 00:51:34.000
17,REVIEW_ALERT,ALERT,15012,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: CRITICAL. Joule analysis confirmed geographic risk signal. Proceeding with enhanced investigation.,manager_fernandez,COMPLIANCE_MANAGER,"10.62.164.124",2024-07-14 22:47:18.000
18,REVIEW_ALERT,ALERT,15013,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: SUSPICIOUS_PATTERN. Priority: MEDIUM. Joule analysis confirmed counterparty exposure. Proceeding with standard review.,officer_tanaka,COMPLIANCE_OFFICER,"10.63.165.131",2024-10-19 16:48:27.000
19,REVIEW_ALERT,ALERT,15014,STATUS,OPEN,INVESTIGATING,Alert reviewed. Type: COUNTERPARTY_RISK. Priority: HIGH. Joule analysis confirmed suspicious structuring. Proceeding with enhanced investigation.,officer_dubois,COMPLIANCE_OFFICER,"10.64.166.138",2025-08-20 04:55:27.000
