"EXPLANATION_ID","ALERT_ID","TRANSACTION_ID","COMPANY_ID","EXPLANATION_TYPE","EXPLANATION_TEXT","CONFIDENCE_SCORE","INPUT_CONTEXT","MODEL_VERSION","USER_RATING","USER_FEEDBACK","GENERATED_AT"
20001,15001,93396,3120,RECOMMENDATION,Review transaction documentation and verify business purpose. Update monitoring watchlist if pattern continues.,0.7756,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20002,15002,109556,1138,RECOMMENDATION,Standard review required within 5 business days. Confirm transaction aligns with client's stated business activity.,0.8133,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20003,15003,75700,3738,ALERT_SUMMARY,New counterparty relationship detected. No prior transaction history with this beneficiary in the last 12 months.,0.7821,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20004,15004,22902,3336,ALERT_SUMMARY,"Transaction amount of $120,000 significantly exceeds the company's 90-day average of $40,000, triggering a critical threshold breach alert requiring immediate review.",0.9056,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20005,15005,61940,1449,RECOMMENDATION,Conduct enhanced due diligence on counterparty. Review last 90 days of transaction history for related patterns. Update risk profile.,0.7700,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20006,15006,143091,4301,RISK_DRIVER,"Key risk factors: Pattern match confidence 20% (score: 17), moderate amount profile (score: 45), moderate counterparty risk (score: 14).",0.7573,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20007,15007,79992,4674,ALERT_SUMMARY,Transaction amount breaches the high-value monitoring threshold. Amount is 2.7x above the company's historical monthly average.,0.8003,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20008,15008,98525,528,RECOMMENDATION,Suspend transaction processing. Conduct emergency counterparty screening. Notify Financial Crime Operations within 2 hours.,0.8885,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20009,15009,103284,2758,RECOMMENDATION,Log for trend monitoring. No immediate action required unless pattern repeats within 30 days.,0.7957,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20010,15010,54638,4876,RECOMMENDATION,Assign to AML analyst for priority review within 24 hours. Request supporting documentation from relationship manager. Assess SAR filing requirement.,0.9113,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20011,15011,70283,2461,RISK_DRIVER,"Key risk factors: Amount 0.8x above baseline average (score: 24), moderate geographic exposure (score: 24), normal transaction frequency (score: 0).",0.8007,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20012,15012,72440,2817,RECOMMENDATION,Flag for immediate SAR consideration. Freeze related account activity. Escalate to AML Investigation team.,0.8140,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20013,15013,70438,435,ALERT_SUMMARY,Minor pattern deviation noted. Transaction subtype and beneficiary combination is atypical for this company segment.,0.9245,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20014,15014,20435,634,ALERT_SUMMARY,Counterparty is domiciled in a high-risk jurisdiction with prior adverse media flags. Enhanced counterparty due diligence is required.,0.9106,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20015,15015,31297,3961,RISK_DRIVER,"Key risk factors: High-risk destination country (score: 95), active sanctions exposure, high transaction size (score: 56), cross-border routing.",0.8139,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20016,15016,33820,2415,ALERT_SUMMARY,Minor pattern deviation noted. Transaction subtype and beneficiary combination is atypical for this company segment.,0.9702,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20017,15017,40284,1098,RISK_DRIVER,"Key risk factors: High-risk destination country (score: 53), no sanctions exposure, high transaction size (score: 56), cross-border routing.",0.7735,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20018,15018,86122,3880,RISK_DRIVER,"Key risk factors: Pattern match confidence 98% (score: 82), high amount profile (score: 88), moderate counterparty risk (score: 29).",0.7722,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20019,15019,46615,17,RISK_DRIVER,"Key risk factors: Transaction velocity 1.7x above daily baseline (score: 23), moderate behavioral pattern (score: 1), moderate geography (score: 26).",0.8889,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20020,15020,103231,255,ALERT_SUMMARY,Transaction destination country carries medium geographic risk. Standard enhanced monitoring applied.,0.9178,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20021,15021,22388,3586,RECOMMENDATION,Flag for immediate SAR consideration. Freeze related account activity. Escalate to AML Investigation team.,0.7787,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20022,15022,133162,525,RISK_DRIVER,"Key risk factors: Transaction velocity 1.4x above daily baseline (score: 16), moderate behavioral pattern (score: 8), moderate geography (score: 29).",0.7681,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20023,15023,142,1496,RISK_DRIVER,"Key risk factors: High-risk destination country (score: 39), no sanctions exposure, high transaction size (score: 68), cross-border routing.",0.9408,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20024,15024,40003,2021,RECOMMENDATION,Log for trend monitoring. No immediate action required unless pattern repeats within 30 days.,0.9537,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20025,15025,140841,4713,RISK_DRIVER,"Key risk factors: Transaction velocity 1.6x above daily baseline (score: 23), moderate behavioral pattern (score: 5), moderate geography (score: 40).",0.8828,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20026,15026,49399,4042,RECOMMENDATION,Suspend transaction processing. Conduct emergency counterparty screening. Notify Financial Crime Operations within 2 hours.,0.7660,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20027,15027,61085,3549,RECOMMENDATION,Request transaction purpose documentation from client. Verify beneficiary details. Assess whether EDD review is required.,0.8024,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20028,15028,64943,4481,RISK_DRIVER,"Key risk factors: Transaction velocity 2.2x above daily baseline (score: 8), moderate behavioral pattern (score: 15), moderate geography (score: 21).",0.9766,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20029,15029,38198,2986,ALERT_SUMMARY,Moderate increase in transaction frequency observed over the past 7 days compared to the 90-day baseline.,0.9493,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20030,15030,109295,3754,RISK_DRIVER,"Key risk factors: Counterparty risk score 94, active sanctions match, elevated destination jurisdiction (score: 61), EXPIRED KYC status.",0.8139,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20031,15031,22734,2676,RECOMMENDATION,Escalate to Senior Compliance Officer immediately. Place hold on transaction pending investigation. Initiate SAR drafting process.,0.9418,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
20032,15032,67789,2098,ALERT_SUMMARY,"Abnormal transaction velocity detected: 14 transactions initiated within 24 hours, far exceeding the company's baseline daily average. Pattern is consistent with rapid fund movement.",0.8351,{},v1.0.0,,[NULL],2026-06-24 08:19:15.307
